Actual	Final
Time	Vertical Subset Except Default	Current Headcount	AOP Vacant Positions	TA Open	Attrition %	Attrition Backfills	Sub Grp Vertical
Jan 18	Pre-sales	10	2	6	0.0379	0.03158333333333333	VS Shridhar
Jan 18	Network area	12	4	0	0.0379	0.0379	VS Shridhar
Jan 18	Product and network Ecosystem	22	16	4	0.0379	0.06948333333333334	VS Shridhar
Jan 18	Business Development	9	0	2	0.0379	0.028425	VS Shridhar
Jan 18	Administration	1	0	0	0.0379	0.0031583333333333333	VS Shridhar
Jan 18	India IOT Solutions-Head	2	0	0	0.0379	0.006316666666666667	
Jan 18	Project Management	0	0	0	0.0379	0	
Jan 18	Business Development	12	1	3	0.0379	0.0379	Timothy Sherwood
Jan 18	Solution Management	10	1	0	0.0379	0.03158333333333333	Timothy Sherwood
Jan 18	Business Development Head	1	0	0	0.0379	0.0031583333333333333	
Jan 18	UCAAS Microsoft Solutions	5	1	0	0.0379	0.015791666666666666	Peter Quinlan
Jan 18	Global Wholesale &  Enterprise Voice Solutions	8	0	0	0.0379	0.025266666666666666	Peter Quinlan
Jan 18	OSS/BSS Manager	4	0	0	0.0379	0.012633333333333333	Peter Quinlan
Jan 18	Cisco Powered Solutions	7	0	1	0.0379	0.022108333333333334	Peter Quinlan
Jan 18	Product Operations	8	1	0	0.0379	0.025266666666666666	Peter Quinlan
Jan 18	InstaCC	4	1	0	0.0379	0.012633333333333333	Peter Quinlan
Jan 18	Administration	1	0	0	0.0379	0.0031583333333333333	Peter Quinlan
Jan 18	Business Collaboration Solutions, Product Management-head	1	0	0	0.0379	0.0031583333333333333	
Jan 18	API Platform & Solutions	1	1	1	0.0379	0.0031583333333333333	Peter Quinlan
Jan 18	Global Voice Network and  Solutions Engineering	52	1	0	0.0379	0.16423333333333334	Philippe Gagnon
Jan 18	Mobility Solutions Technology & Architecture	25	0	3	0.0379	0.07895833333333334	Philippe Gagnon
Jan 18	Contact Center Services Engineering	20	0	0	0.0379	0.06316666666666666	Philippe Gagnon
Jan 18	Mobility Services Engineering	40	4	2	0.0379	0.12633333333333333	Philippe Gagnon
Jan 18	UCC Network and Services Engineering	46	0	0	0.0379	0.14528333333333332	Philippe Gagnon
Jan 18	Engineering- head	1	0	0	0.0379	0.0031583333333333333	
Jan 18	Administration	1	0	0	0.0379	0.0031583333333333333	Philippe Gagnon
Jan 18	Mobility Solutions Technology & Architecture	2	1	1	0.0379	0.006316666666666667	
Jan 18	UCC Network and Services Engineering	1	0	0	0.0379	0.0031583333333333333	
Jan 18	Sales Enablement-Head	1	0	0	0.0379	0.0031583333333333333	
Jan 18	Knowledge Management	1	0	0	0.0379	0.0031583333333333333	Celine Gregoire
Jan 18	Product Strategy & Planning	3	0	0	0.0379	0.009475	Celine Gregoire
Jan 18	Marketing Strategy	1	0	0	0.0379	0.0031583333333333333	Celine Gregoire
Jan 18	GMS - Mobility Marketing Strategy & Asset Interlock Product	1	0	0	0.0379	0.0031583333333333333	Celine Gregoire
Jan 18	GMS - Mobility Marketing Strategy & Asset Interlock Product	0	0	0	0.0379	0	
Jan 18	CTO Head	1	0	0	0.0379	0.0031583333333333333	
Jan 18	CTO	5	1	0	0.0379	0.015791666666666666	Karl Perkins
Jan 18	Mobility Solutions Technology & Architecture	0	0	0	0.0379	0	
Jan 18	Bus Collaboration, Mob & IoT Sol	0	0	0	0.0379	0	
Jan 18	Global Voice Network and  Solutions Engineering	0	0	0	0.0379	0	
Jan 18	Contact Center Services Engineering	0	0	0	0.0379	0	
Jan 18	Mobility Services Engineering	0	0	0	0.0379	0	
Jan 18	UCC Network and Services Engineering	0	0	0	0.0379	0	
Jan 18	Administration	0	0	0	0.0379	0	
Jan 18	BCMIoT Sols Head	5	3	0	0.0379	0.015791666666666666	
Jan 18	GCP	0	0	0	0.0379	0	
Jan 18	Collaboration , Mobility & IoT Solutions office	0	0	0	0.0379	0	
Jan 18	Mobility Solutions Technology & Architecture	0	0	0	0.0379	0	
Jan 18	Business Operations	3	0	0	0.0379	0.009475	
Jan 18	Portfolio management	13	0	0	0.0379	0.041058333333333336	Michael Joseph Higgins
Jan 18	Mnaas Product	8	5	1	0.0379	0.025266666666666666	Michael Joseph Higgins
Jan 18	Exchange Enablement Management	5	0	0	0.0379	0.015791666666666666	Michael Joseph Higgins
Jan 18	Mobility & IoT  Solutions Product  Management-head	2	0	0	0.0379	0.006316666666666667	
Jan 18	Process Excellence Q2C	1	0	0	0.1623	0.013524999999999999	Pankaj Sehgal
Jan 18	Organizational Effectiveness	5	1	0	0.1623	0.06762499999999999	Pankaj Sehgal
Jan 18	Q2C	4	4	2	0.1623	0.054099999999999995	Pankaj Sehgal
Jan 18	BE Head Office	0	1	0	0.1623	0	Pankaj Sehgal
Jan 18	Process Excellence	7	1	0	0.1623	0.09467499999999998	
Jan 18	Projects	14	0	1	0.1623	0.18934999999999996	Pankaj Sehgal
Jan 18	Head	1	0	0	0.1623	0.013524999999999999	Pankaj Sehgal
Jan 18	Service Realisation	11	0	0	0.1623	0.148775	Pankaj Sehgal
Jan 18	Business IT Services	48	0	0	0.1623	0.6492	Rupinder Goyal
Jan 18	IT Architecture, Inventory, Assurance	41	1	3	0.1623	0.5545249999999999	Rupinder Goyal
Jan 18	Group CIO	4	0	0	0.1623	0.054099999999999995	Rupinder Goyal
Jan 18	IT Delivery	78	1	3	0.1623	1.0549499999999998	Rupinder Goyal
Jan 18	Corporate Security	21	1	0	0.1623	0.28402499999999997	Rupinder Goyal
Jan 18	IT Strategy & planning	0	0	0	0.1623	0	Rupinder Goyal
Jan 18	Information Analytics & Business Partnership	2	0	0	0.1623	0.027049999999999998	Rupinder Goyal
Jan 18	IT Governance & Digital	46	7	2	0.1623	0.62215	Rupinder Goyal
Jan 18	Global IT Business Partnership	0	0	0	0.1623	0	Rupinder Goyal
